CHUTE,ZIP_CODE,AVG_PROCESSING_TIME_MINUTES,Predicted_Processing_Time,PERFORMANCE_ISSUE,Predicted_Performance_Issue,MAE,Accuracy
0.0,0.00025471217524197657,0.14884324834749765,1.7005706513921408,0,0,1.551727403044643,1.0
0.0,0.0005094243504839531,0.13172804532577906,1.801819876829782,0,0,1.670091831504003,1.0
0.0,0.0007641365257259297,0.15017510547565438,1.7640334828446298,0,0,1.6138583773689754,1.0
0.0,0.0010188487009679063,0.14644374747065966,1.6183764663007514,0,0,1.4719327188300917,1.0
0.0,0.0012735608762098828,0.14413656751652504,1.8206149070213227,0,0,1.6764783395047975,1.0
0.0,0.0015282730514518594,0.1434257656302825,1.85292009115219,0,0,1.7094943255219073,1.0
0.0,0.001782985226693836,0.1444461258672779,1.688764919175041,0,0,1.544318793307763,1.0
0.0,0.0020376974019358125,0.14435029677593417,1.9481632646587148,0,0,1.8038129678827808,1.0
0.0,0.002292409577177789,0.20089707271010387,2.446495790282884,1,0,2.24559871757278,0.5
0.0,0.0025471217524197657,0.14383920788842885,1.9082322946439174,0,0,1.7643930867554884,1.0
0.0,0.0028018339276617422,0.14522348127163992,1.760679373765984,0,0,1.615455892494344,1.0
0.0,0.003056546102903719,0.13035587818696887,2.7563904310266163,0,0,2.6260345528396476,1.0
0.0,0.0033112582781456954,0.1559516315182038,1.6379198786285178,0,0,1.4819682471103137,1.0
0.0,0.0038206826286296485,0.13463959710418635,2.664190698663392,0,0,2.5295511015592056,1.0
0.0,0.004075394803871625,0.13991595436354645,1.6063882082700718,0,0,1.4664722539065256,1.0
0.0,0.004330106979113601,0.1555076542210631,1.8378115359279832,0,0,1.68230388170692,1.0
0.0,0.004584819154355578,0.14726943657538558,2.032278517030533,0,0,1.8850090804551471,1.0
0.0,0.004839531329597555,0.14446474942668286,1.857756674538055,0,0,1.7132919251113723,1.0
0.0,0.005094243504839531,0.15753861459598004,1.6317905063430458,0,0,1.4742518917470657,1.0
0.0,0.0053489556800815075,0.1354433652592293,2.023367890857514,0,0,1.8879245255982846,1.0
0.0,0.0056036678553234845,0.21706798866855526,1.9022532592217116,1,0,1.6851852705531565,0.5
0.0,0.0058583800305654615,0.1412299338999056,2.058059117197989,0,0,1.9168291832980835,1.0
0.0,0.006113092205807438,0.15041706011960973,2.4187153965234747,0,0,2.268298336403865,1.0
0.0,0.006367804381049414,0.17094546742209632,2.082332201177874,1,0,1.911386733755778,0.875
